title,episodes,country,premiere_year,final_year,seasons,Original Channel,technique,final_year_filled,run_years,title_clean,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,year_diff,rating_norm,seasons_norm,votes_norm,success_score,is_successful,toy_products,avg_stars,total_reviews,bought_last_month,match_reliable,has_merch,imdb_norm,merch_norm,reviews_norm,franchise_score,is_franchise,netflix_popularity,netflix_vote_avg,netflix_vote_count,netflix_duration,on_netflix,is_franchise_final,theme,yt_has_content,yt_top10_total_views,yt_top10_avg_views,yt_video_count,years_since_premiere,log_votes_per_year,genre_animation,genre_family,genre_comedy,genre_adventure,genre_action,on_streaming,netflix_pop_filled,log_yt_views,title_has_high_animal,title_has_hero_keyword,title_word_count,title_has_character,country_grouped_Australia,country_grouped_Brazil,country_grouped_Canada,country_grouped_Coproduction,country_grouped_France,country_grouped_Germany,country_grouped_Other,country_grouped_South Korea,country_grouped_Spain,country_grouped_United Kingdom,country_grouped_United States,technique_grouped_CGI,technique_grouped_Flash,technique_grouped_Flash/Traditional,technique_grouped_Other,technique_grouped_Stop Motion,technique_grouped_Stop-motion,technique_grouped_Toon Boom Harmony,technique_grouped_Traditional,technique_grouped_Traditional/Flash,era_Golden Age (85-96),era_Modern (97-09),era_Streaming Era (2010+),dash_prob
12 oz. Mouse,31,United States,2005.0,2020.0,3.0,"Adult Swim, Adult Swim Video (webisode)",Flash,2020.0,15.0,12 oz. mouse,tt0465774,tvSeries,12 oz. Mouse,12 oz. Mouse,0.0,2005.0,2020.0,15.0,"Action,Adventure,Animation",6.6,2640.0,0.0,0.6582278481012657,0.0625,0.0037931958828259,0.2861144382112127,0,0.0,,,0.0,,0,0.6582278481012657,0.0,0.0,0.1316455696202531,0,0.0,,,,0,0,,1,2684979,268497,10,19.0,0.414679626963007,1,0,0,1,1,0,0.0,14.803183837107788,0,0,3,0,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,0.13992259
Lizzie McGuire,65,United States,2001.0,2003.0,3.0,Disney Channel,Traditional/Live-Action,2003.0,2.0,lizzie mcguire,tt0273366,tvSeries,Lizzie McGuire,Lizzie McGuire,0.0,2001.0,2004.0,30.0,"Comedy,Drama,Family",6.6,21660.0,0.0,0.6582278481012657,0.0625,0.0312045126348587,0.2929672673992209,0,0.0,,,0.0,,0,0.6582278481012657,0.0,0.0,0.1316455696202531,0,0.0,,,,0,0,,1,27812547,2781254,10,23.0,0.4340551603278686,0,1,1,0,0,0,0.0,17.14099784373194,0,0,2,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,0.06945664
Freaky Stories,35,Canada,1997.0,2000.0,3.0,YTV,Traditional,2000.0,3.0,freaky stories,tt0166432,tvSeries,Freaky Stories,Freaky Stories,0.0,1997.0,,22.0,"Animation,Comedy,Fantasy",7.5,585.0,0.0,0.7721518987341771,0.0625,0.0008315630791757,0.3309436502634648,1,0.0,,,0.0,,0,0.7721518987341771,0.0,0.0,0.1544303797468354,0,0.0,,,,0,0,,1,331151585,33115158,10,27.0,0.2360488810954449,1,0,1,0,0,0,0.0,19.618086792254168,0,0,2,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,0.06095988
Magic Adventures of Mumfie,79,United Kingdom,1994.0,1998.0,3.0,CITV,Traditional,1998.0,4.0,magic adventures of mumfie,tt0361155,tvSeries,Magic Adventures of Mumfie,Magic Adventures of Mumfie,0.0,1994.0,1998.0,23.0,"Animation,Family,Fantasy",7.8,196.0,0.0,0.8101265822784809,0.0625,0.0002709425630589,0.345993368552157,1,0.0,,,0.0,,0,0.8101265822784809,0.0,0.0,0.1620253164556961,1,0.0,,,,0,0,,1,505690,50569,10,30.0,0.17610679095793294,1,1,0,0,0,0,0.0,13.133681089796791,0,0,4,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,0.018542727
Noah's Island,39,United Kingdom,1997.0,1999.0,3.0,BBC1,Traditional,1999.0,2.0,noah's island,tt0454733,tvSeries,Noah's Island,Noah's Island,0.0,1997.0,1999.0,25.0,"Adventure,Animation,Family",7.3,718.0,0.0,0.7468354430379746,0.0625,0.0010232405307015,0.3208649873478652,1,0.0,,,0.0,,0,0.7468354430379746,0.0,0.0,0.1493670886075949,0,0.0,,,,0,0,,1,2747810,274781,10,27.0,0.24362449473040915,1,1,0,1,0,0,0.0,14.826315152666535,0,0,2,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,0.20443547
Bimble's Bucket,39,United Kingdom,1996.0,1998.0,3.0,CITV,Traditional,1998.0,2.0,bimble's bucket,tt1706740,tvSeries,Bimble's Bucket,Bimble's Bucket,0.0,1996.0,1998.0,10.0,"Adventure,Animation,Family",8.2,115.0,0.0,0.8607594936708859,0.0625,0.0001542066715282,0.3662173491362364,1,0.0,,,0.0,,0,0.8607594936708859,0.0,0.0,0.1721518987341772,1,0.0,,,,0,0,,1,268016,26801,10,28.0,0.16977107825379872,1,1,0,1,0,0,0.0,12.498805690317038,0,0,2,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,0.017283492
Block 13,45,Kuwait,2000.0,2002.0,3.0,Kuwait TV,Traditional,2002.0,2.0,block 13,tt9908414,tvSeries,Block 13,Block 13,0.0,2000.0,2002.0,10.0,"Animation,Comedy,Drama",4.3,554.0,0.0,0.3670886075949366,0.0625,0.0007868863799479,0.1689071646329616,0,0.0,,,0.0,,0,0.3670886075949366,0.0,0.0,0.0734177215189873,0,0.0,,,,0,0,,1,431241649,43124164,10,24.0,0.2632903380727681,1,0,1,0,0,0,0.0,19.88217916380355,0,0,2,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,0.017018095
Sidekick,52,Canada,2010.0,2013.0,3.0,"YTV (Canada), Cartoon Network (Seasons 1–2) (United States), Qubo (Season 3), CBBC and Going Live, Disney XD (Australia and Southeast Asia)",Flash,2013.0,3.0,sidekick,tt1746428,tvSeries,Sidekick,Sidekick,0.0,2010.0,2019.0,24.0,"Action,Adventure,Animation",4.1,1248.0,0.0,0.3417721518987341,0.0625,0.0017870679691125,0.1590306277517718,0,0.0,,,0.0,,0,0.3417721518987341,0.0,0.0,0.0683544303797468,0,83.716,7.35,10.0,1 Seasons,1,0,,1,58365987,5836598,10,14.0,0.5092927507232555,1,0,0,1,1,1,83.716,17.88224388087902,0,0,1,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0.0033820358
Simon,156,France,2016.0,2019.0,3.0,France 5,Flash,2019.0,3.0,simon,tt7699866,tvSeries,Simon,Simon,0.0,2016.0,,5.0,"Adventure,Animation,Comedy",6.8,185.0,0.0,0.6835443037974682,0.0625,0.0002550895407523,0.2953564939041753,0,0.0,,,0.0,,0,0.6835443037974682,0.0,0.0,0.1367088607594936,0,45.768,7.8,5.0,1 Seasons,1,0,,1,1178834908,117883490,10,8.0,0.6532183342141502,1,0,1,1,0,1,45.768,20.887792422403578,0,0,1,0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0.00346503
Object Mayhem,21,Ireland,2012.0,,3.0,YouTube,Flash,2023.0,11.0,object mayhem,tt17072760,tvSeries,Object Mayhem,Object Mayhem,0.0,2012.0,,23.0,"Animation,Comedy,Reality-TV",8.7,27.0,0.0,0.924050632911392,0.0625,2.738249307511162e-05,0.3915020987878256,1,0.0,,,0.0,,0,0.924050632911392,0.0,0.0,0.1848101265822784,1,0.0,,,,0,0,,1,10075007,1007500,10,12.0,0.277683709181267,1,0,1,0,0,0,0.0,16.12556845984137,0,0,2,1,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0.050622825
