title,episodes,country,premiere_year,final_year,seasons,Original Channel,technique,final_year_filled,run_years,era,title_clean,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,year_diff,rating_norm,seasons_norm,votes_norm,success_score,is_successful,toy_products,avg_stars,total_reviews,bought_last_month,match_reliable,has_merch,imdb_norm,merch_norm,reviews_norm,franchise_score,is_franchise,netflix_popularity,netflix_vote_avg,netflix_vote_count,netflix_duration,on_netflix
Allsorts,212,United Kingdom,1987.0,1990.0,9.0,"ITV, BBC One",Live Action,1990.0,3.0,Golden Age (85-96),allsorts,tt14152738,tvSeries,Allsorts,Allsorts,0.0,1987.0,1995.0,,Family,5.8,8.0,0.0,0.5569620253164557,0.25,0.0,0.3102848101265822,0,0.0,,,0.0,,0,0.5569620253164557,0.0,0.0,0.1113924050632911,0,0.0,,,,0
My Little Pony: Friendship Is Magic,222,Coproduction,2010.0,2019.0,9.0,"Discovery Family, Discovery Kids, Cartoonito",Flash,2019.0,9.0,Streaming Era (2010+),my little pony: friendship is magic,tt1751105,tvSeries,My Little Pony: Friendship Is Magic,My Little Pony: Friendship Is Magic,0.0,2010.0,2019.0,22.0,"Adventure,Animation,Comedy",7.8,25933.0,0.0,0.8101265822784809,0.25,0.0373626912090667,0.420891305713659,1,18.0,4.66,0.0,3150.0,True,1,0.8101265822784809,0.0648815653964984,0.0,0.1977101774237703,1,227.511,8.1,657.0,1 Seasons,1
Regular Show,261,United States,2010.0,2017.0,8.0,Cartoon Network,Traditional,2017.0,7.0,Streaming Era (2010+),regular show,tt1710308,tvSeries,Regular Show,Regular Show,0.0,2010.0,2017.0,23.0,"Action,Adventure,Animation",8.6,73980.0,0.0,0.911392405063291,0.21875,0.1066072514606398,0.4677712748904763,1,0.0,,,0.0,,0,0.911392405063291,0.0,0.0,0.1822784810126582,1,426.107,8.621,2045.0,1 Seasons,1
Kevin Spencer,112,Canada,1999.0,2005.0,8.0,The Comedy Network,Traditional,2005.0,6.0,Modern (97-09),kevin spencer,tt0250876,tvSeries,Kevin Spencer,Kevin Spencer,0.0,1998.0,2005.0,30.0,"Animation,Comedy",6.8,649.0,1.0,0.6835443037974682,0.21875,0.0009237988453235,0.3502111712303181,1,0.0,,,0.0,,0,0.6835443037974682,0.0,0.0,0.1367088607594936,0,0.0,,,,0
Dinotrux,78,Coproduction,2015.0,2018.0,8.0,"Netflix ,Discovery Kids (Latin American)",CGI,2018.0,3.0,Streaming Era (2010+),dinotrux,tt1396212,tvSeries,Dinotrux,Dinotrux,0.0,2015.0,2017.0,23.0,"Action,Adventure,Animation",6.7,695.0,0.0,0.670886075949367,0.21875,0.0009900933022421,0.3451644537053073,1,0.0,,,0.0,,0,0.670886075949367,0.0,0.0,0.1341772151898734,0,75.457,6.1,14.0,1 Seasons,1
Trolls: The Beat Goes On!,52,Germany,2018.0,2019.0,8.0,"ZDF, Netflix",Traditional,2019.0,1.0,Streaming Era (2010+),trolls: the beat goes on!,tt7539608,tvSeries,Trolls: The Beat Goes On!,Trolls: The Beat Goes On!,0.0,2018.0,2019.0,25.0,"Adventure,Animation,Comedy",5.9,1160.0,0.0,0.569620253164557,0.21875,0.0016602437906593,0.3048256622134876,0,0.0,,,0.0,,0,0.569620253164557,0.0,0.0,0.1139240506329114,0,78.09,7.8,49.0,1 Seasons,1
Madagascar: A Little Wild,50,United States,2020.0,2022.0,8.0,"Hulu, Peacock",CGI,2022.0,2.0,Streaming Era (2010+),madagascar: a little wild,tt11714912,tvSeries,Madagascar: A Little Wild,Madagascar: A Little Wild,0.0,2020.0,2022.0,23.0,"Adventure,Animation,Comedy",5.9,334.0,0.0,0.569620253164557,0.21875,0.000469825933815,0.3045280577492766,0,0.0,,,0.0,,0,0.569620253164557,0.0,0.0,0.1139240506329114,0,43.582,7.0,257.0,1 Seasons,1
Beavis and Butt-head,222,United States,1993.0,1997.0,8.0,MTV,Traditional,1997.0,4.0,Golden Age (85-96),beavis and butt-head,tt0105950,tvSeries,Beavis and Butt-Head,Beavis and Butt-Head,0.0,1993.0,2011.0,15.0,"Animation,Comedy,Music",7.5,36419.0,0.0,0.7721518987341771,0.21875,0.0524749450188362,0.3985419957483799,1,1.0,4.7,0.0,0.0,True,1,0.7721518987341771,0.0,0.0,0.1544303797468354,0,0.0,,,,0
Dora the Explorer,178,United States,2000.0,2014.0,8.0,Nickelodeon,Traditional,2014.0,14.0,Modern (97-09),dora the explorer,tt0235917,tvSeries,Dora the Explorer,Dora the Explorer,0.0,2000.0,2019.0,30.0,"Adventure,Animation,Comedy",4.4,10093.0,0.0,0.379746835443038,0.21875,0.0145343390875,0.2320948189490902,0,3.0,4.57,217.0,0.0,True,1,0.379746835443038,0.0,0.0018779423982276,0.0764188526881645,0,0.0,,,,0
Ben 10: Omniverse,80,United States,2012.0,2014.0,8.0,Cartoon Network,Traditional,2014.0,2.0,Streaming Era (2010+),ben 10: omniverse,tt2293002,tvSeries,Ben 10: Omniverse,Ben 10: Omniverse,0.0,2012.0,2014.0,22.0,"Action,Adventure,Animation",6.7,10505.0,0.0,0.670886075949367,0.21875,0.0151281068320761,0.3486989570877658,1,0.0,,,0.0,,0,0.670886075949367,0.0,0.0,0.1341772151898734,0,136.288,8.2,469.0,1 Seasons,1
